ncbigene:1	0	A1BG
ncbigene:2	0	A2M
ncbigene:3	0	A2MP1
ncbigene:9	0	NAT1
ncbigene:10	0	NAT2
ncbigene:11	0	NATP
ncbigene:12	0	SERPINA3
ncbigene:13	0	AADAC
ncbigene:14	0	AAMP
ncbigene:15	0	AANAT
ncbigene:16	0	AARS1
ncbigene:17	0	AAVS1
ncbigene:18	0	ABAT
ncbigene:19	0	ABCA1
ncbigene:20	0	ABCA2
ncbigene:21	0	ABCA3
ncbigene:22	0	ABCB7
ncbigene:23	0	ABCF1
ncbigene:24	0	ABCA4
ncbigene:25	0	ABL1
ncbigene:26	0	AOC1
ncbigene:27	0	ABL2
ncbigene:28	0	ABO
ncbigene:29	0	ABR
ncbigene:30	0	ACAA1
ncbigene:31	0	ACACA
ncbigene:32	0	ACACB
ncbigene:33	0	ACADL
ncbigene:34	0	ACADM
ncbigene:35	0	ACADS
ncbigene:36	0	ACADSB
ncbigene:37	0	ACADVL
ncbigene:38	0	ACAT1
ncbigene:39	0	ACAT2
ncbigene:40	0	ASIC2
ncbigene:41	0	ASIC1
ncbigene:43	0	ACHE
ncbigene:47	0	ACLY
ncbigene:48	0	ACO1
ncbigene:49	0	ACR
ncbigene:50	0	ACO2
ncbigene:51	0	ACOX1
ncbigene:52	0	ACP1
ncbigene:53	0	ACP2
ncbigene:54	0	ACP5
ncbigene:55	0	ACP3
ncbigene:56	0	ACRV1
ncbigene:58	0	ACTA1
ncbigene:59	0	ACTA2
ncbigene:60	0	ACTB
ncbigene:62	0	ACTBP2
ncbigene:63	0	ACTBP3
ncbigene:64	0	ACTBP4
ncbigene:66	0	ACTBP6
ncbigene:67	0	ACTBP7
ncbigene:68	0	ACTBP8
ncbigene:69	0	ACTBP9
ncbigene:70	0	ACTC1
ncbigene:71	0	ACTG1
ncbigene:72	0	ACTG2
ncbigene:73	0	ACTG1P1
ncbigene:74	0	ACTG1P2
ncbigene:75	0	ACTG1P3
ncbigene:81	0	ACTN4
ncbigene:82	0	ACTG1P9
ncbigene:83	0	ACTG1P10
ncbigene:86	0	ACTL6A
ncbigene:87	0	ACTN1
ncbigene:88	0	ACTN2
ncbigene:89	0	ACTN3
ncbigene:90	0	ACVR1
ncbigene:91	0	ACVR1B
ncbigene:92	0	ACVR2A
ncbigene:93	0	ACVR2B
ncbigene:94	0	ACVRL1
ncbigene:95	0	ACY1
ncbigene:97	0	ACYP1
ncbigene:98	0	ACYP2
ncbigene:100	0	ADA
ncbigene:101	0	ADAM8
ncbigene:102	0	ADAM10
ncbigene:103	0	ADAR
ncbigene:104	0	ADARB1
ncbigene:105	0	ADARB2
ncbigene:107	0	ADCY1
ncbigene:108	0	ADCY2
ncbigene:109	0	ADCY3
ncbigene:111	0	ADCY5
ncbigene:112	0	ADCY6
ncbigene:113	0	ADCY7
ncbigene:114	0	ADCY8
ncbigene:115	0	ADCY9
ncbigene:116	0	ADCYAP1
ncbigene:117	0	ADCYAP1R1
ncbigene:118	0	ADD1
ncbigene:119	0	ADD2
